,trade_id,trade_type,entry_time,exit_time,entry_price,exit_price,pnl_percent,winning_trade,pnl_usd,duration,duration_mins
0,1,Long,2025-08-29 01:45:00+00:00,2025-09-01 12:15:00+00:00,1.16604483127594,1.171783447265625,0.4921436839958889,True,0.057386159896850586,3 days 10:30:00,4950.0
1,2,Long,2025-09-01 12:30:00+00:00,2025-09-01 23:45:00+00:00,1.1710972785949707,1.171783447265625,0.05859194476803249,True,0.006861686706542969,0 days 11:15:00,675.0
2,3,Long,2025-09-02 00:00:00+00:00,2025-09-02 13:45:00+00:00,1.1709601879119873,1.1653653383255005,-0.4778001544581413,False,-0.055948495864868164,0 days 13:45:00,825.0
3,4,Short,2025-09-02 14:00:00+00:00,2025-09-03 06:15:00+00:00,1.1680878400802612,1.163873314857483,0.36080550436076225,True,0.0421452522277832,0 days 16:15:00,975.0
4,5,Short,2025-09-03 06:30:00+00:00,2025-09-03 07:45:00+00:00,1.1642799377441406,1.163873314857483,0.0349248383894315,True,0.0040662288665771484,0 days 01:15:00,75.0
5,6,Short,2025-09-03 08:00:00+00:00,2025-09-09 07:15:00+00:00,1.164958119392395,1.176747441291809,-1.0119953415632656,False,-0.11789321899414062,5 days 23:15:00,8595.0
6,7,Long,2025-09-09 07:30:00+00:00,2025-09-09 11:30:00+00:00,1.1759172677993774,1.1750881671905518,-0.07050671263440754,False,-0.008291006088256836,0 days 04:00:00,240.0
7,8,Long,2025-09-09 11:45:00+00:00,2025-09-10 13:00:00+00:00,1.1745359897613523,1.170823097229004,-0.31611568863912065,False,-0.03712892532348411,1 days 01:15:00,1515.0
8,9,Short,2025-09-10 13:15:00+00:00,2025-09-17 06:45:00+00:00,1.171783447265625,1.1859582662582395,-1.2096790602130185,False,-0.14174818992614524,6 days 17:30:00,9690.0
9,10,Long,2025-09-17 07:00:00+00:00,2025-09-18 07:15:00+00:00,1.1846938133239746,1.1828720569610596,-0.15377444723912378,False,-0.01821756362915039,1 days 00:15:00,1455.0
10,11,Short,2025-09-18 07:30:00+00:00,2025-09-22 05:45:00+00:00,1.1838523149490356,1.174122333526611,0.8218914892980895,True,0.09729981422424538,3 days 22:15:00,5655.0
11,12,Short,2025-09-22 06:00:00+00:00,2025-09-23 05:45:00+00:00,1.1742602586746216,1.1802195310592651,-0.5074916178607406,False,-0.05959272384643555,0 days 23:45:00,1425.0
12,13,Long,2025-09-23 06:00:00+00:00,2025-09-29 06:30:00+00:00,1.179523468017578,1.1727453470230105,-0.5746491001115389,False,-0.06778120994567427,6 days 00:30:00,8670.0
13,14,Long,2025-09-29 06:45:00+00:00,2025-09-30 12:45:00+00:00,1.172333002090454,1.174122333526611,0.152629963753161,True,0.017893314361570045,1 days 06:00:00,1800.0
14,15,Long,2025-09-30 13:00:00+00:00,2025-10-03 07:15:00+00:00,1.1730204820632937,1.1730204820632937,0.0,False,0.0,2 days 18:15:00,3975.0
15,16,Short,2025-10-03 07:30:00+00:00,2025-10-06 12:30:00+00:00,1.173433542251587,1.1686338186264038,0.4090324208709242,True,0.047997236251831055,3 days 05:00:00,4620.0
16,17,Short,2025-10-06 12:45:00+00:00,2025-10-07 15:15:00+00:00,1.169180393218994,1.1676785945892334,0.12844883804677562,True,0.015017986297605201,1 days 02:30:00,1590.0
17,18,Short,2025-10-07 15:30:00+00:00,2025-10-08 07:15:00+00:00,1.1679514646530151,1.1621150970458984,0.49970977251615645,True,0.05836367607116699,0 days 15:45:00,945.0
18,19,Short,2025-10-08 07:30:00+00:00,2025-10-10 07:30:00+00:00,1.163061261177063,1.1576753854751587,0.4630775593414213,True,0.05385875701904297,2 days 00:00:00,2880.0
19,20,Short,2025-10-10 07:45:00+00:00,2025-10-13 06:45:00+00:00,1.1582117080688477,1.1617100238800049,-0.3020445905343305,False,-0.034983158111572266,2 days 23:00:00,4260.0
20,21,Long,2025-10-13 07:00:00+00:00,2025-10-14 12:45:00+00:00,1.1607661247253418,1.1560693979263306,-0.4046230070784122,False,-0.046967267990112305,1 days 05:45:00,1785.0
21,22,Short,2025-10-14 13:00:00+00:00,2025-10-15 11:30:00+00:00,1.1568717956542969,1.163061261177063,-0.535017410400736,False,-0.06189465522766113,0 days 22:30:00,1350.0
22,23,Long,2025-10-15 11:45:00+00:00,2025-10-16 06:45:00+00:00,1.1623852252960205,1.1657729148864746,0.29144293274988686,True,0.033876895904541016,0 days 19:00:00,1140.0
23,24,Long,2025-10-16 07:00:00+00:00,2025-10-17 11:45:00+00:00,1.1653653383255005,1.168770432472229,0.29219112966078553,True,0.034050941467285156,1 days 04:45:00,1725.0
24,25,Long,2025-10-17 12:00:00+00:00,2025-10-20 15:00:00+00:00,1.1682243347167969,1.16604483127594,-0.18656548884382662,False,-0.021795034408569336,3 days 03:00:00,4500.0
25,26,Short,2025-10-20 15:15:00+00:00,2025-10-20 23:45:00+00:00,1.1665889024734497,1.164686679840088,0.16305852295771422,True,0.019022226333618164,0 days 08:30:00,510.0
26,27,Short,2025-10-21 00:00:00+00:00,2025-10-22 14:00:00+00:00,1.1655012369155884,1.159823656082153,0.48713640566015803,True,0.056775808334352806,1 days 14:00:00,2280.0
27,28,Short,2025-10-22 14:15:00+00:00,2025-10-28 12:15:00+00:00,1.1606314182281494,1.1655012369155884,-0.41958356554515464,False,-0.04869818687438965,5 days 22:00:00,8520.0
28,29,Long,2025-10-28 12:30:00+00:00,2025-10-28 19:30:00+00:00,1.164822340011597,1.1664528846740725,0.13998226222716095,True,0.01630544662475586,0 days 07:00:00,420.0
29,30,Long,2025-10-28 19:45:00+00:00,2025-10-31 09:30:00+00:00,1.1656370162963867,1.157139539718628,-0.7289985183173124,False,-0.08497476577758789,2 days 13:45:00,3705.0
30,31,Short,2025-10-31 09:45:00+00:00,2025-11-03 15:30:00+00:00,1.158077597618103,1.1516757011413574,0.5528037577026637,True,0.06401896476745605,3 days 05:45:00,4665.0
31,32,Short,2025-11-03 15:45:00+00:00,2025-11-04 06:00:00+00:00,1.1528706550598145,1.1519410610198977,0.08063298652254619,True,0.009295940399167701,0 days 14:15:00,855.0
32,33,Short,2025-11-04 06:15:00+00:00,2025-11-05 01:00:00+00:00,1.1528706550598145,1.1486331224441528,0.36756357680400537,True,0.04237532615661621,0 days 18:45:00,1125.0
33,34,Short,2025-11-05 01:15:00+00:00,2025-11-07 19:15:00+00:00,1.1490291357040403,1.157139539718628,-0.7058484212950933,False,-0.08110404014587624,2 days 18:00:00,3960.0
34,35,Long,2025-11-07 19:30:00+00:00,2025-11-12 01:00:00+00:00,1.1564704179763794,1.1583458185195925,0.16216588976782778,True,0.018754005432131127,4 days 05:30:00,6090.0
35,36,Long,2025-11-12 01:15:00+00:00,2025-11-13 00:15:00+00:00,1.158077597618103,1.159151554107666,0.09273614235970609,True,0.010739564895629883,0 days 23:00:00,1380.0
36,37,Long,2025-11-13 00:30:00+00:00,2025-11-13 22:45:00+00:00,1.1586142778396606,1.164008855819702,0.4656060332779562,True,0.05394577980041282,0 days 22:15:00,1335.0
37,38,Long,2025-11-13 23:00:00+00:00,2025-11-14 07:30:00+00:00,1.163061261177063,1.16441547870636,0.1164356147436788,True,0.01354217529297097,0 days 08:30:00,510.0
38,39,Long,2025-11-14 07:45:00+00:00,2025-11-14 22:15:00+00:00,1.1637378931045532,1.162520408630371,-0.1046184438434151,False,-0.012174844741821289,0 days 14:30:00,870.0
